matricula;cnpj
7120136174;01915625000146
7120148030;01915625000227
7120021397;01915625000308
7120041167;01915625000499
7120041165;01915625000570
7120043621;01915625000650
7110317767;01915625000731
7120067250;01915625000812
7120183043;01915625000901
7120224787;01915625001037
7120219208;01915625001118
7120254231;01915625001207
7120275165;01915625001380
7120291224;01915625001460
7120297546;01915625001541
7120498825;01915625001622
7120321089;01915625001703
7120360096;01915625001894
7120362796;01915625001975
7120440837;01915625002009
7120523572;01915625002190
7120502631;01915625002270
7120510870;01915625002351
