CNPJ	REDE	Matricula
4641376000136	SUPERM BH COM ALIMENTOS LTDA	1700050946
4641376000217	SUPERM BH COM ALIMENTOS LTDA	1700064832
4641376000306	SUPERM BH COM ALIMENTOS LTDA	1700051125
4641376000489	SUPERM BH COM ALIMENTOS LTDA	1700082854
4641376000560	SUPERM BH COM ALIMENTOS LTDA	1700064876
4641376000640	SUPERM BH COM ALIMENTOS LTDA	1700064907
4641376000721	SUPERM BH COM ALIMENTOS LTDA	1700065018
4641376000802	SUPERM BH COM ALIMENTOS LTDA	1700051476
4641376000993	GUGA COMERCIO ALIMENTOS LTDA	1700211685
4641376000993	SUPERM BH COM ALIMENTOS LTDA	1700065017
4641376001027	SUPERM BH COM ALIMENTOS LTDA	1700071943
4641376001108	SUPERM BH COM ALIMENTOS LTDA	1700065016
4641376001299	SUPERM BH COM ALIMENTOS LTDA	1700065040
4641376001370	SUPERM BH COM ALIMENTOS LTDA	1700065039
4641376001450	SUPERM BH COM ALIMENTOS LTDA	1700051475
4641376001531	SUPERM BH COM ALIMENTOS LTDA	1700065015
4641376001612	SUPERM BH COM ALIMENTOS LTDA	1700051359
4641376001701	SUPERM BH COM ALIMENTOS LTDA	1700065200
4641376001884	SUPERM BH COM ALIMENTOS LTDA	1700065045
4641376001965	SUPERM BH COM ALIMENTOS LTDA	1700065044
4641376002007	SUPERM BH COM ALIMENTOS LTDA	1700051485
4641376002180	SUPERM BH COM ALIMENTOS LTDA	1700065102
4641376002260	SUPERMERCADOS BH COMERCIO DE ALIMEN	1700051593
4641376002341	SUPERM BH COM ALIMENTOS LTDA	1700065206
4641376002503	SUPERM BH COM ALIMENTOS LTDA	1700082888
4641376002694	SUPERM BH COM ALIMENTOS LTDA	1700065531
4641376002775	SUPERM BH COM ALIMENTOS LTDA	1700065858
4641376002856	SUPERM BH COM ALIMENTOS LTDA	1700065857
4641376003070	SUPERM BH COM ALIMENTOS LTDA	1700067957
4641376003151	SUPERM BH COM ALIMENTOS LTDA	1700052007
4641376003232	SUPERM BH COM ALIMENTOS LTDA	1700052800
4641376003313	SUPERMERCADOS BH COM DE ALIM LTDA	1700052881
4641376003402	SUPERM BH COM ALIMENTOS LTDA	1700053593
4641376003585	SUPERM BH COM ALIMENTOS LTDA	1700053705
4641376003666	SUPERM BH COM ALIMENTOS LTDA	1700053679
4641376003747	SUPERM BH COM ALIMENTOS LTDA	1700054482
4641376003828	SUPERM BH COM ALIMENTOS LTDA	1700053897
4641376003909	SUPERM BH COM ALIMENTOS LTDA	1700054531
4641376004042	SUPERM BH COM DE ALIM LTDA	1700012000
4641376004123	SUPERM BH COM ALIMENTOS LTDA	1700054994
4641376004204	SUPERM BH COM ALIMENTOS LTDA	1700055077
4641376004395	SUPERM BH COM ALIMENTOS LTDA	1700055457
4641376004476	SUPERM BH COM ALIMENTOS LTDA	1700055459
4641376004557	SUPERM BH COM ALIMENTOS LTDA	1700055341
4641376004638	SUPERM BH COM ALIMENTOS LTDA	1700080032
4641376004719	SUPERM BH COM ALIMENTOS LTDA	1700055965
4641376004980	SUPERM BH COM ALIMENTOS LTDA	1700056269
4641376005014	SUPERM BH COM ALIMENTOS LTDA	1700272687
4641376005103	SUPERM BH COM ALIMENTOS LTDA	1700074819
4641376005286	SUPERM BH COM ALIMENTOS LTDA	1700075697
4641376005367	SUPERM BH COM ALIMENTOS LTDA	1700075700
4641376005448	SUPERM BH COM ALIMENTOS LTDA	1700075698
4641376005529	SUPERM BH COM ALIMENTOS LTDA	1700075699
4641376005600	SUPERM BH COM ALIMENTOS LTDA	1700075058
4641376005790	SUPERM BH COM ALIMENTOS LTDA	1700075450
4641376005871	SUPERM BH COM ALIMENTOS LTDA	1700075701
4641376005952	SUPERM BH COM ALIMENTOS LTDA	1700076018
4641376006096	SUPERM BH COM ALIMENTOS LTDA	1700076022
4641376006177	SUPERM BH COM ALIMENTOS LTDA	1700075691
4641376006258	SUPERM BH COM ALIMENTOS LTDA	1700076016
4641376006339	SUPERM BH COM ALIMENTOS LTDA	1700076020
4641376006410	SUPERM BH COM ALIMENTOS LTDA	1700050902
4641376006509	SUPERM BH COM ALIMENTOS LTDA	1700050901
4641376006681	SUPERM BH COM ALIMENTOS LTDA	1700050900
4641376006762	SUPERM BH COM ALIMENTOS LTDA	1700050993
4641376006843	SUPERM BH COM ALIMENTOS LTDA	1700080452
4641376006924	SUPERM BH COM ALIMENTOS LTDA	1700077341
4641376007068	SUPERM BH COM ALIMENTOS LTDA	1700077226
4641376007149	SUPERM BH COM ALIMENTOS LTDA	1700076502
4641376007220	SUPERM BH COM ALIMENTOS LTDA	1700077229
4641376007491	SUPERM BH COM ALIMENTOS LTDA	1700077223
4641376007572	SUPERM BH COM ALIMENTOS LTDA	1700033916
4641376007653	SUPERM BH COM ALIMENTOS LTDA	1700077339
4641376007734	SUPERM BH COM ALIMENTOS LTDA	1700033889
4641376007815	SUPERM BH COM ALIMENTOS LTDA	1700077332
4641376007904	SUPERM BH COM ALIMENTOS LTDA	1700077336
4641376008030	SUPERM BH COM ALIMENTOS LTDA	1700078273
4641376008110	SUPERM BH COM ALIMENTOS LTDA	1700079791
4641376008200	SUPERM BH COM ALIMENTOS LTDA	1700052274
4641376008382	SUPERM BH COM ALIMENTOS LTDA	1700038892
4641376008463	SUPERM BH COM ALIMENTOS LTDA	1700079112
4641376008544	SUPERM BH COM ALIMENTOS LTDA	1700078931
4641376008625	SUPERM BH COM ALIMENTOS LTDA	1700039174
4641376008706	SUPERM BH COM ALIMENTOS LTDA	1700079113
4641376008897	SUPERM BH COM ALIMENTOS LTDA	1700080346
4641376008978	SUPERM BH COM ALIMENTOS LTDA	1700039223
4641376009001	SUPERM BH COM ALIMENTOS LTDA	1700080534
4641376009192	SUPERM BH COM ALIMENTOS LTDA	1700034788
4641376009273	SUPERM BH COM ALIMENTOS LTDA	1700034766
4641376009354	SUP BH COM DE ALIM LTDA	1700068144
4641376009435	SUP BH COM DE ALIM LTDA	1700068143
4641376009516	SUPERM BH COM ALIMENTOS LTDA	1700081363
4641376009605	SUPERM BH COM ALIMENTOS LTDA	1700285193
4641376009788	SUPERMERCADOS BH COMERCIO DE	1700492137
4641376009869	SUPERM BH COM ALIMENTOS LTDA	1700408235
4641376009940	SUPERM BH COM ALIMENTOS LTDA	1700435852
4641376010018	SUPERM BH COM ALIMENTOS LTDA	1700464237
4641376010107	SUPERM BH COM ALIMENTOS LTDA	1700425987
4641376010280	SUPERM BH COM ALIMENTOS LTDA	1700425561
4641376010360	SUPERM BH COM ALIMENTOS LTDA	1700424763
4641376010441	SUPERM BH COM ALIMENTOS LTDA	1700476241
4641376010522	SUPERM BH COM ALIMENTOS LTDA	1700436263
4641376010603	SUPERM BH COM ALIMENTOS LTDA	1700440980
4641376010794	SUPERM BH COM ALIMENTOS LTDA	1700438369
4641376010875	SUPERM BH COM ALIMENTOS LTDA	1700425698
4641376010956	SUPERMERCADO BH COMERCIO DE	1700494621
4641376011170	SUPERM BH COM ALIMENTOS LTDA	1700433370
4641376011251	SUPERM BH COM ALIMENTOS LTDA	1700433368
4641376011332	SUPERM BH COM ALIMENTOS LTDA	1700433084
4641376011413	SUPERM BH COM ALIMENTOS LTDA	1700433366
4641376011502	SUPERMERCADOS BH COM DE ALIMENT SA	7130099246
4641376011685	SUPERM BH COM ALIMENTOS LTDA	1700433568
4641376011766	SUPERM BH COM ALIMENTOS LTDA	1700433562
4641376011847	SUPERMERCADOS BH COM ALIMENTOS LTDA	1700433566
4641376011928	SUPERMECADOS BH COMERCIO DE	1700442581
4641376012061	SUPERM BH COM ALIMENTOS LTDA	1700435850
4641376012142	SUPERM BH COM ALIMENTOS LTDA	1700450444
4641376012223	SUPERM BH COM ALIMENTOS LTDA	1700450073
4641376012304	SUPERM BH COM ALIMENTOS LTDA	1700447952
4641376012495	SUPERM BH COM ALIMENTOS LTDA	1700453401
4641376012576	SUPERM BH COM ALIMENTOS LTDA	1700450092
4641376012657	SUPERM BH COM ALIMENTOS LTDA	1700452911
4641376012738	SUPERM BH COM ALIMENTOS LTDA	1700455246
4641376012819	SUPERM BH COM ALIMENTOS LTDA	1700452239
4641376012908	SUPERM BH COM ALIMENTOS LTDA	1700456826
4641376013033	SUPERM BH COM ALIMENTOS LTDA	1700458286
4641376013114	SUPERMERCADOS BH COMERCIO DE ALIMEN	1700458290
4641376013203	SUPERM BH COM ALIMENTOS LTDA	1700458288
4641376013386	SUPERMERCADOS BH COMERCIO DE	1700493591
4641376013467	SUPERMERCADOS BH COMER DE ALI LTDA	1700530293
4641376013548	SUPERM BH COM ALIMENTOS LTDA	1700460566
4641376013629	SUPERM BH COM ALIMENTOS LTDA	1700467153
4641376013700	SUPERM BH COM ALIMENTOS LTDA	1700460568
4641376013890	SUPERMERCADOS BH COMERCIO DE	1700460527
4641376013971	SUPERM BH COM ALIMENTOS LTDA	1700460562
4641376014005	SUPERM BH COM ALIMENTOS LTDA	1700460951
4641376014196	SUPERM BH COM ALIMENTOS LTDA	1700471862
4641376014277	SUPERM BH COM ALIMENTOS LTDA	1700462639
4641376014439	SUPERM BH COM ALIMENTOS LTDA	1700464906
4641376014510	SUPERM BH COM ALIMENTOS LTDA	1700464908
4641376014609	SUPERM BH COM ALIMENTOS LTDA	1700464899
4641376014781	SUPERM BH COM ALIMENTOS LTDA	1700464895
4641376014862	SUPERM BH COM ALIMENTOS LTDA	1700464897
4641376014943	SUPERM BH COM ALIMENTOS LTDA	1700474374
4641376015087	SUPERM BH COM ALIMENTOS LTDA	1700470008
4641376015168	SUPERMECADOS BH COMERCIO DE	1700468968
4641376015249	SUPERMERCADOS BH COMERCIO DE	1700490704
4641376015320	SUPERM BH COM ALIMENTOS LTDA	1700480709
4641376015591	SUPERMERCADOS BH COMERCIO DE	1700482574
4641376015672	SUPERMERCADO BH COM DE ALIMENTOS LT	1700483214
4641376015753	SUPERMERCADO BH COMERCIO DE	1700488114
4641376015834	SUPERM BH COM ALIMENTOS LTDA	1700475472
4641376015915	SUPERM BH COM ALIMENTOS LTDA	1700479731
4641376016059	SUPERMERCADOS BH COMERCIO DE	1700486362
4641376016130	SUPERMERCADOS BH COMERCIO DE	1700489565
4641376016210	SUPERMERCADOS BH COMERCIO DE ALIMEN	1700481910
4641376016300	SUPERM BH COM ALIMENTOS LTDA	1700481893
4641376016482	SUPERM BH COM ALIMENTOS LTDA	1700481912
4641376016563	SUPERMERCADOS BH COMERCIO DE ALIMEN	1700481914
4641376016644	SUPERMERCADOS BH COMERCIO DE	1700484642
4641376016725	SUPERMERCADOS BH COMERCIO DE	1700484638
4641376016806	SUPERMERCADOS BH COMERCIO DE	1700484640
4641376016997	SUPERMERCADOS BH COMERCIO DE ALIM	1700489458
4641376017020	SUPERMERCADOS BH COMERCIO DE	1700489563
4641376017101	SUPERMERCADOS BH COMERCIO DE	1700489561
4641376017292	SUPERMERCADOS BH COMERCIO DE	1700497504
4641376017373	SUPERMERCADOS BH COMERCIO DE ALIM	1700489468
4641376017454	SUPERMERCADOS BH COMERCIO DE	1700493990
4641376017535	SUPERMERCADOS BH COMERCIO DE	1700494893
4641376017616	SUPERMERCADOS BH COM DE ALIM LTDA	1700498082
4641376017705	SUPERMERCADOS BH COMERCIO DE	1700497525
4641376017888	SUPERMERCADOS BH COM DE ALIMEN LTDA	1700508967
4641376017969	SUPERMERCADOS BH COM ALIM LTDA	1700509539
4641376018000	SUPERMERCADOS BH COM ALIMENTOS LTDA	1700507294
4641376018183	SUPERMERCADOS BH COM DE ALIMEN LTDA	1700508965
4641376018264	SUPERM BH COM ALIMENTOS LTDA	1700510891
4641376018345	SUPERMERCADOS BH COM ALIM LTDA	1700511300
4641376018426	SUPERMERCADOS BH COMERCIO DE	1700510469
4641376018507	SUPERMERCADOS BH COM DE ALIM LTDA	1700509989
4641376018698	SUPERM BH COM ALIMENTOS LTDA	1700510034
4641376018779	SUPERMERCADOS BH COM DE ALIM LTDA	1700510032
4641376018850	SUPERMERCADOS BH COM DE ALIM LTDA	1700510061
4641376018930	SUPERMERCADOS BH COM DE ALIMEN LTDA	1700515937
4641376019074	SUPERMERCADOS BH COM ALIMEN LTDA	1700515169
4641376019155	SUPERMERCADOS BH COMERCIO DE	1700524172
4641376019236	SUPERMERCADOS BH COM DE ALIMENTO LT	1700526398
4641376019317	SUPERMERCADOS BH COM DE ALIM LTDA	1700534418
4641376019406	SUPERMERCADOS BH COMER DE ALIM LTDA	1700526911
4641376019589	SUPERMERCADOS BH COMERCIO DE	1700524174
4641376019660	SUPERMERCADOS BH COMER DE ALIM LTDA	1700526624
4641376020242	SUPERMERCADOS BH COMERCIO DE ALIME	1700526589
4641376020323	SUPERMERCADOS BH COMERCIO DE ALIME	1700526587
4641376020404	SUPERMERCADOS BH COME DE ALIM LTDA	1700526746
4641376020595	SUPERMERCADOS BH COMERCIO DE ALIME	1700526591
4641376020676	SUPERMERCADOS BH COMERCIO DE ALIME	1700526585
4641376020757	SUPERMERCADOS BH COME DE ALIM LTDA	1700526619
4641376020838	SUPERMERCADOS BH COMERCIO DE ALIME	1700526583
4641376020919	SUPERMERCADOS BH COMERCIO DE ALIME	1700526595
4641376021214	SUPERMERCADOS BH COMERCIO DE ALIME	1700526593
4641376021303	SUPERMERCADOS BH COMERCIO DE ALIME	1700526662
4641376021486	SUPERMERCADOS BH COM DE ALIMENTO LT	1700530210
4641376021648	SUPERMERCADOS BH COMERCIO DE ALIME	1700622593
4641376021729	SUPERMERCADOS BH COM DE ALIM LTDA	1700535036
4641376021800	SUPERMERCADOS BH COM DE ALI LTDA	1700537433
4641376021990	SUPERMERCADOS BH COM DE ALIMENTO SA	1700578215
4641376022024	SUPERMERCADOS BH COM DE ALIMEN LTDA	1700539631
4641376022296	SUPERMERCADOS BH COMERCIO DE ALIMEN	1700568324
4641376022458	SUPERMERCADOS BH COME DE ALIME LTDA	1700541752
4641376022539	SUPERMERCADOS BH COMER DE AL SA	1700548746
4641376022610	SUPERMERCADOS BH COMERCIO DE	1700558666
4641376022709	SUPERMERCADOS BH COM DE ALIMEN SA	1700598811
4641376022962	SUPERMERCADOS BH COMERCIO DE ALIMEN	1700603026
4641376023004	SUPERMERCADOS BH COM DE ALIMENTOS	7130094164
4641376023187	SUPERMERCADOS BH C DE ALIMENTOS SA	1700576083
4641376023268	SUPERMERCADOS BH COMERCIO DE ALIMEN	1700568078
